experiment,layer,probe_character,center_character,test_character,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
A-to-A,23,Alice,Alice,Alice,0.09873256888440858,0.790305976111942,0.9627698672715053,0.24439675482985393
A-to-A,22,Alice,Alice,Alice,0.09919197328629033,0.8127496875704248,0.9627698672715053,0.24439675482985393
A-to-A,21,Alice,Alice,Alice,0.09752236643145161,0.8163451885845404,0.9627698672715053,0.24439675482985393
A-to-A,20,Alice,Alice,Alice,0.10064894153225806,0.8183785417221529,0.9627698672715053,0.24439675482985393
A-to-A,19,Alice,Alice,Alice,0.10494896673387097,0.807392288623466,0.9627698672715053,0.24439675482985393
A-to-A,18,Alice,Alice,Alice,0.11007066952284947,0.8107726741922927,0.9627698672715053,0.24439675482985393
A-to-A,17,Alice,Alice,Alice,0.11039619035618278,0.7971000389256521,0.9627698672715053,0.24439675482985393
A-to-A,16,Alice,Alice,Alice,0.10135511172715053,0.8099455040871936,0.9627698672715053,0.24439675482985393
A-to-A,15,Alice,Alice,Alice,0.08519195228494622,0.8211084591587962,0.9627698672715053,0.24439675482985393
A-to-A,14,Alice,Alice,Alice,0.09177324848790322,0.8360973960787527,0.9627698672715053,0.24439675482985393
A-to-A,13,Alice,Alice,Alice,0.09163673975134409,0.8420642887873635,0.9627698672715053,0.24439675482985393
A-to-A,12,Alice,Alice,Alice,0.09886382728494622,0.8451578537624715,0.9627698672715053,0.24439675482985393
A-to-A,11,Alice,Alice,Alice,0.37912151377688175,0.5815953371166336,0.9627698672715053,0.24439675482985393
A-to-A,10,Alice,Alice,Alice,0.8838783182123654,0.2235740919055131,0.9627698672715053,0.24439675482985393
A-to-A,9,Alice,Alice,Alice,0.9537077872983871,0.21085667165188174,0.9627698672715053,0.24439675482985393
A-to-A,8,Alice,Alice,Alice,0.9554613995295699,0.22287496670832393,0.9627698672715053,0.24439675482985393
A-to-A,7,Alice,Alice,Alice,0.9632450226814516,0.24819968859478397,0.9627698672715053,0.24439675482985393
A-to-A,6,Alice,Alice,Alice,0.9627724924395161,0.24502929667492984,0.9627698672715053,0.24439675482985393
A-to-A,5,Alice,Alice,Alice,0.9625126008064516,0.24439675482985393,0.9627698672715053,0.24439675482985393
A-to-A,4,Alice,Alice,Alice,0.9630166330645161,0.2439460367540104,0.9627698672715053,0.24439675482985393
A-to-A,3,Alice,Alice,Alice,0.9630218834005377,0.24379494376267646,0.9627698672715053,0.24439675482985393
A-to-A,2,Alice,Alice,Alice,0.9631163894489247,0.24323922886234658,0.9627698672715053,0.24439675482985393
A-to-A,1,Alice,Alice,Alice,0.9631505166330645,0.2434671487984266,0.9627698672715053,0.24439675482985393
A-to-A,0,Alice,Alice,Alice,0.9629168766801076,0.24419700477351414,0.9627698672715053,0.24439675482985393
B-to-B,23,Bob,Bob,Bob,0.8447948168682795,0.12285652824158488,0.21674962197580647,0.926156501608244
B-to-B,22,Bob,Bob,Bob,0.8639952956989247,0.1385061768863576,0.21674962197580647,0.926156501608244
B-to-B,21,Bob,Bob,Bob,0.8603646883400538,0.13424996414742582,0.21674962197580647,0.926156501608244
B-to-B,20,Bob,Bob,Bob,0.850467804939516,0.14078537624715742,0.21674962197580647,0.926156501608244
B-to-B,19,Bob,Bob,Bob,0.8413427209341398,0.15046813218331934,0.21674962197580647,0.926156501608244
B-to-B,18,Bob,Bob,Bob,0.8528514574932795,0.18840783839708267,0.21674962197580647,0.926156501608244
B-to-B,17,Bob,Bob,Bob,0.8548177083333334,0.20931757185880231,0.21674962197580647,0.926156501608244
B-to-B,16,Bob,Bob,Bob,0.8630082325268817,0.18583413574808957,0.21674962197580647,0.926156501608244
B-to-B,15,Bob,Bob,Bob,0.8669276083669355,0.1845075905021409,0.21674962197580647,0.926156501608244
B-to-B,14,Bob,Bob,Bob,0.8889947706653226,0.19452070230071092,0.21674962197580647,0.926156501608244
B-to-B,13,Bob,Bob,Bob,0.886931388608871,0.22954098461412387,0.21674962197580647,0.926156501608244
B-to-B,12,Bob,Bob,Bob,0.8609842279905914,0.2302836450800024,0.21674962197580647,0.926156501608244
B-to-B,11,Bob,Bob,Bob,0.6056446362567205,0.4264484439982791,0.21674962197580647,0.926156501608244
B-to-B,10,Bob,Bob,Bob,0.340841313844086,0.7176840261416484,0.21674962197580647,0.926156501608244
B-to-B,9,Bob,Bob,Bob,0.20679498487903222,0.9148552580360985,0.21674962197580647,0.926156501608244
B-to-B,8,Bob,Bob,Bob,0.2087061071908603,0.9156107229927681,0.21674962197580647,0.926156501608244
B-to-B,7,Bob,Bob,Bob,0.20125850554435482,0.9214444489971523,0.21674962197580647,0.926156501608244
B-to-B,6,Bob,Bob,Bob,0.21220545614919353,0.9256033476060724,0.21674962197580647,0.926156501608244
B-to-B,5,Bob,Bob,Bob,0.2147991221438172,0.9256571264673946,0.21674962197580647,0.926156501608244
B-to-B,4,Bob,Bob,Bob,0.21616158434139784,0.9256750527545021,0.21674962197580647,0.926156501608244
B-to-B,3,Bob,Bob,Bob,0.21653960853494622,0.925915777181373,0.21674962197580647,0.926156501608244
B-to-B,2,Bob,Bob,Bob,0.2161274571572581,0.9259797996353282,0.21674962197580647,0.926156501608244
B-to-B,1,Bob,Bob,Bob,0.2158780661962366,0.926156501608244,0.21674962197580647,0.926156501608244
B-to-B,0,Bob,Bob,Bob,0.21629284274193547,0.9260745528671817,0.21674962197580647,0.926156501608244
A-to-B,23,Alice,Bob,Bob,0.6236060357862904,0.14849880149966194,0.21674962197580647,0.926156501608244
A-to-B,22,Alice,Bob,Bob,0.3315613449260753,0.46628577574727015,0.21674962197580647,0.926156501608244
A-to-B,21,Alice,Bob,Bob,0.12744403141801075,0.6999882198684723,0.21674962197580647,0.926156501608244
A-to-B,20,Alice,Bob,Bob,0.09591838877688172,0.7607890639405052,0.21674962197580647,0.926156501608244
A-to-B,19,Alice,Bob,Bob,0.08966523857526881,0.7809228452602897,0.21674962197580647,0.926156501608244
A-to-B,18,Alice,Bob,Bob,0.09481844338037633,0.7979681834012826,0.21674962197580647,0.926156501608244
A-to-B,17,Alice,Bob,Bob,0.10650831653225805,0.8262609862530986,0.21674962197580647,0.926156501608244
A-to-B,16,Alice,Bob,Bob,0.11357264364919353,0.8538981991764152,0.21674962197580647,0.926156501608244
A-to-B,15,Alice,Bob,Bob,0.14054887012768816,0.868536293048698,0.21674962197580647,0.926156501608244
A-to-B,14,Alice,Bob,Bob,0.17998939432123656,0.8703186781668066,0.21674962197580647,0.926156501608244
A-to-B,13,Alice,Bob,Bob,0.31813098538306456,0.7994227735551412,0.21674962197580647,0.926156501608244
A-to-B,12,Alice,Bob,Bob,0.5346128402217742,0.6305494663088238,0.21674962197580647,0.926156501608244
A-to-B,11,Alice,Bob,Bob,0.25529758904569894,0.8440592284526028,0.21674962197580647,0.926156501608244
A-to-B,10,Alice,Bob,Bob,0.21072486139112906,0.8912693859990576,0.21674962197580647,0.926156501608244
A-to-B,9,Alice,Bob,Bob,0.21620621219758063,0.9155082870664399,0.21674962197580647,0.926156501608244
A-to-B,8,Alice,Bob,Bob,0.22453324512768819,0.9174187170924588,0.21674962197580647,0.926156501608244
A-to-B,7,Alice,Bob,Bob,0.21626921622983872,0.9208656860133986,0.21674962197580647,0.926156501608244
A-to-B,6,Alice,Bob,Bob,0.21176180275537634,0.9268837966851734,0.21674962197580647,0.926156501608244
A-to-B,5,Alice,Bob,Bob,0.21307701192876347,0.9271731781770503,0.21674962197580647,0.926156501608244
A-to-B,4,Alice,Bob,Bob,0.2148673765120968,0.9264125914240643,0.21674962197580647,0.926156501608244
A-to-B,3,Alice,Bob,Bob,0.21627709173387097,0.9263178381922107,0.21674962197580647,0.926156501608244
A-to-B,2,Alice,Bob,Bob,0.21576518397177416,0.9257467579029317,0.21674962197580647,0.926156501608244
A-to-B,1,Alice,Bob,Bob,0.21643197664650532,0.9256084694023888,0.21674962197580647,0.926156501608244
A-to-B,0,Alice,Bob,Bob,0.21620096186155913,0.9257185880231915,0.21674962197580647,0.926156501608244
