experiment,layer,auroc_all,auroc_disagreement
A-to-A,1,0.528305434355835,0.5611348969967734
A-to-A,2,0.5585436125443093,0.5961001489203277
A-to-A,3,0.5675741438138372,0.6095960536113181
A-to-A,4,0.5798452698928834,0.6138620004964012
A-to-A,5,0.5827927733629743,0.6081533879374534
A-to-A,6,0.6284431319851131,0.6422809630181187
A-to-A,7,0.735758802417727,0.7532731447009184
A-to-A,8,0.8214963142381561,0.9047375279225613
A-to-A,9,0.8778583318125763,0.9762503102506825
A-to-A,10,0.884389291659063,0.9730081906180194
A-to-A,11,0.9044466933213886,0.9884121370067015
A-to-A,12,0.9081518102537729,0.9983246463142219
A-to-A,13,0.9078918990659787,0.9998758997269794
A-to-A,14,0.9069794448960632,0.9999534623976173
A-to-A,15,0.9073610166398461,0.999813849590469
A-to-A,16,0.9101260292759538,0.9997362869198312
A-to-A,17,0.9156007542954473,0.9996432117150658
A-to-A,18,0.9227897871493275,0.9995811615785555
A-to-A,19,0.9247695361967804,0.9994570613055349
A-to-A,20,0.9266165646377004,0.9991312980888558
A-to-A,21,0.9258644812006791,0.9986504095309009
A-to-A,22,0.9243437242508198,0.9981074708364358
A-to-A,23,0.92055012691408,0.9972077438570365
A-to-A,24,0.9198201635781474,0.995547902705386
A-to-B,1,0.5307662956019709,0.561258997269794
A-to-B,2,0.5499720733723754,0.5829144949118888
A-to-B,3,0.5734083204760246,0.6084481260858774
A-to-B,4,0.5787724449900736,0.6029101514023331
A-to-B,5,0.5857292167825207,0.6029877140729709
A-to-B,6,0.6184116661413143,0.6300725986597171
A-to-B,7,0.7219558593382772,0.7364420451724994
A-to-B,8,0.8263903866040667,0.9062267311988086
A-to-B,9,0.8763431048879894,0.9724342268552991
A-to-B,10,0.8841017303449076,0.9690059568131049
A-to-B,11,0.9063766721413916,0.9861783320923306
A-to-B,12,0.9142680182048432,0.9969285182427402
A-to-B,13,0.9159602059381411,0.9996276991809382
A-to-B,14,0.9186201480940769,0.9992864234301315
A-to-B,15,0.9148486708584259,0.9993329610325142
A-to-B,16,0.9069794448960632,0.9977041449491189
A-to-B,17,0.8951120106618887,0.9866902457185405
A-to-B,18,0.8052988702158369,0.8397555224621495
A-to-B,19,0.5596606776492968,0.3571916108215438
A-to-B,20,0.41618970198693805,0.09658103747828245
A-to-B,21,0.37718090371672996,0.04399354678580291
A-to-B,22,0.36040833706610037,0.026092082402581283
A-to-B,23,0.3555142647001897,0.01867709108960039
A-to-B,24,0.3286770520541279,0.00594130057086125
B-to-B,1,0.4571395391276938,0.418590220898486
B-to-B,2,0.43569963114731436,0.3982377761231075
B-to-B,3,0.4152717177917503,0.36871742367833205
B-to-B,4,0.4089564289308802,0.3651495408289898
B-to-B,5,0.4154265584993724,0.37513961280714814
B-to-B,6,0.4015517250913836,0.3678487217671879
B-to-B,7,0.3387804082264656,0.28408103747828245
B-to-B,8,0.3128777698514082,0.22804976420948128
B-to-B,9,0.19486703054232962,0.09042256142963515
B-to-B,10,0.16034861279316046,0.06152271034996277
B-to-B,11,0.17615895504642456,0.02011975676346488
B-to-B,12,0.16105645602800406,0.0015357408786299308
B-to-B,13,0.15338078095016897,0.0007446016381236031
B-to-B,14,0.1355851596241795,0.0012099776619508562
B-to-B,15,0.12465229966100945,0.0008066517746339037
B-to-B,16,0.13310770830222696,0.0010083147182923804
B-to-B,17,0.12795925477379433,0.0007601141722511785
B-to-B,18,0.1313049200634847,0.000682551501613303
B-to-B,19,0.13246069534537774,0.0006205013651030028
B-to-B,20,0.1420221090410383,0.000682551501613303
B-to-B,21,0.14113730499748384,0.0006825515016133034
B-to-B,22,0.1382008615779374,0.0007911392405063286
B-to-B,23,0.13424136348303112,0.0009772896500372294
B-to-B,24,0.15573657171613275,0.0017374038222884086
