experiment,layer,probe_character,center_character,test_character,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
A-to-A,23,Alice,Alice,Alice,0.12560386473429952,0.7875,0.9227053140096618,0.21666666666666665
A-to-A,17,Alice,Alice,Alice,0.1690821256038647,0.8166666666666667,0.9227053140096618,0.21666666666666665
A-to-A,11,Alice,Alice,Alice,0.4178743961352657,0.6000000000000001,0.9227053140096618,0.21666666666666665
A-to-A,5,Alice,Alice,Alice,0.9178743961352657,0.18958333333333335,0.9227053140096618,0.21666666666666665
B-to-B,23,Bob,Bob,Bob,0.8888888888888888,0.13541666666666669,0.14492753623188406,0.9
B-to-B,17,Bob,Bob,Bob,0.8888888888888888,0.2,0.14492753623188406,0.9
B-to-B,11,Bob,Bob,Bob,0.1497584541062802,0.8791666666666667,0.14492753623188406,0.9
B-to-B,5,Bob,Bob,Bob,0.15458937198067635,0.9041666666666667,0.14492753623188406,0.9
A-to-B,23,Alice,Bob,Bob,0.7584541062801932,0.2354166666666666,0.14492753623188406,0.9
A-to-B,17,Alice,Bob,Bob,0.1111111111111111,0.8416666666666667,0.14492753623188406,0.9
A-to-B,11,Alice,Bob,Bob,0.1908212560386473,0.7375,0.14492753623188406,0.9
A-to-B,5,Alice,Bob,Bob,0.14009661835748793,0.9041666666666667,0.14492753623188406,0.9
