experiment,layer,auroc_all,auroc_disagreement
A-to-A,1,0.6354166666666667,0.85
A-to-A,2,0.49479166666666663,0.6749999999999999
A-to-A,3,0.4479166666666667,0.575
A-to-A,4,0.48958333333333337,0.625
A-to-A,5,0.5208333333333333,0.675
A-to-A,6,0.5416666666666666,0.675
A-to-A,7,0.6145833333333333,0.8
A-to-A,8,0.625,0.8
A-to-A,9,0.859375,1.0
A-to-A,10,0.859375,1.0
A-to-A,11,0.875,1.0
A-to-A,12,0.9010416666666667,1.0
A-to-A,13,0.8854166666666666,1.0
A-to-A,14,0.890625,1.0
A-to-A,15,0.8854166666666666,1.0
A-to-A,16,0.8854166666666666,1.0
A-to-A,17,0.859375,1.0
A-to-A,18,0.8541666666666666,1.0
A-to-A,19,0.84375,1.0
A-to-A,20,0.8072916666666666,1.0
A-to-A,21,0.796875,1.0
A-to-A,22,0.796875,1.0
A-to-A,23,0.7760416666666667,1.0
A-to-A,24,0.7604166666666666,1.0
A-to-B,1,0.6458333333333333,0.85
A-to-B,2,0.6666666666666666,0.8
A-to-B,3,0.6041666666666666,0.8
A-to-B,4,0.578125,0.75
A-to-B,5,0.5729166666666667,0.8
A-to-B,6,0.578125,0.7749999999999999
A-to-B,7,0.6041666666666666,0.725
A-to-B,8,0.6666666666666666,0.75
A-to-B,9,0.8697916666666666,1.0
A-to-B,10,0.875,1.0
A-to-B,11,0.8854166666666666,1.0
A-to-B,12,0.8541666666666667,1.0
A-to-B,13,0.875,1.0
A-to-B,14,0.8697916666666667,1.0
A-to-B,15,0.859375,1.0
A-to-B,16,0.8489583333333333,1.0
A-to-B,17,0.8125,1.0
A-to-B,18,0.6875,0.7749999999999999
A-to-B,19,0.5,0.275
A-to-B,20,0.40104166666666663,0.0
A-to-B,21,0.3854166666666667,0.0
A-to-B,22,0.390625,0.0
A-to-B,23,0.3854166666666667,0.0
A-to-B,24,0.39583333333333337,0.0
B-to-B,1,0.3802083333333333,0.30000000000000004
B-to-B,2,0.296875,0.19999999999999998
B-to-B,3,0.40625,0.32499999999999996
B-to-B,4,0.4375,0.2
B-to-B,5,0.41145833333333326,0.19999999999999998
B-to-B,6,0.453125,0.24999999999999997
B-to-B,7,0.49479166666666663,0.3
B-to-B,8,0.421875,0.4
B-to-B,9,0.2708333333333333,0.24999999999999997
B-to-B,10,0.2552083333333333,0.22499999999999998
B-to-B,11,0.234375,0.04999999999999999
B-to-B,12,0.140625,0.024999999999999994
B-to-B,13,0.11979166666666666,0.0
B-to-B,14,0.13020833333333334,0.0
B-to-B,15,0.16666666666666669,0.0
B-to-B,16,0.17708333333333331,0.0
B-to-B,17,0.15104166666666669,0.0
B-to-B,18,0.15104166666666669,0.0
B-to-B,19,0.16145833333333331,0.0
B-to-B,20,0.171875,0.0
B-to-B,21,0.15104166666666669,0.0
B-to-B,22,0.16666666666666669,0.0
B-to-B,23,0.17708333333333334,0.0
B-to-B,24,0.21875,0.0
